#{"t_start": 1752056778.3082104, "env_id": "MultiInventory-v0"}
r,l,t
-14.19,30,2.306411
-13.42,30,2.353437
-13.17,30,2.394105
-13.89,30,2.433233
-13.37,30,2.465868
-13.06,30,2.497711
-13.42,30,2.530696
-12.39,30,2.563587
-14.23,30,2.599405
-14.49,30,2.634208
-14.72,30,2.671159
-13.0,30,2.709312
-13.48,30,2.746259
-14.09,30,2.779092
-13.42,30,2.8116
-13.48,30,2.848434
-14.73,30,2.887632
-13.03,30,2.922358
-14.0,30,2.959222
-12.78,30,2.993125
-11.77,30,3.02723
-13.7,30,3.06261
-13.88,30,3.099452
-13.27,30,3.13229
-13.76,30,3.16961
-13.99,30,3.204543
-13.54,30,3.23622
-13.58,30,3.270065
-12.7,30,3.301945
-13.17,30,3.335365
-13.99,30,3.370496
-14.21,30,3.403021
-13.41,30,3.435393
-14.11,30,3.469712
-12.46,30,3.507559
-13.52,30,3.541142
-14.44,30,3.572372
-13.38,30,3.607833
-14.7,30,3.643315
-13.2,30,3.678706
-14.3,30,3.715416
-13.65,30,3.751831
-14.85,30,3.784708
-14.03,30,3.816736
-14.12,30,3.853824
-12.95,30,3.887639
-13.2,30,3.921668
-13.38,30,3.955617
-12.15,30,3.994758
-13.43,30,4.029501
-13.95,30,4.066242
-13.88,30,4.10222
-13.05,30,4.137946
-12.65,30,4.171109
-12.47,30,4.206008
-13.97,30,4.237106
-13.75,30,4.273447
-13.63,30,4.305569
-13.88,30,4.338118
-13.96,30,4.374948
-14.34,30,4.412209
-13.39,30,4.453554
-12.75,30,4.494668
-13.6,30,4.529561
-12.74,30,4.567379
-14.22,30,4.604239
-13.97,30,4.641727
-13.34,30,4.675858
-13.65,30,6.254788
-14.76,30,6.289796
-13.17,30,6.325982
-13.22,30,6.361466
-14.1,30,6.393129
-12.97,30,6.427408
-12.49,30,6.462219
-15.52,30,6.496575
-14.78,30,6.534243
-14.26,30,6.574392
-13.58,30,6.612953
-13.32,30,6.646496
-13.53,30,6.678211
-14.39,30,6.714332
-13.75,30,6.751921
-15.36,30,6.786266
-13.02,30,6.821226
-12.15,30,6.860686
-12.7,30,6.893193
-13.17,30,6.928039
-13.7,30,6.965341
-13.4,30,6.997971
-13.32,30,7.030135
-13.63,30,7.064946
-12.95,30,7.102511
-13.9,30,7.136437
-12.89,30,7.170061
-13.18,30,7.206021
-13.89,30,7.243814
-12.69,30,7.278565
-12.71,30,7.31085
-12.89,30,7.348037
-13.12,30,7.381128
-13.36,30,7.415936
-13.96,30,7.449419
-12.83,30,7.486016
-12.7,30,7.527843
-14.64,30,7.567629
-14.74,30,7.606806
-14.51,30,7.64605
-13.89,30,7.679169
-14.07,30,7.715362
-13.48,30,7.751173
-12.49,30,7.783425
-13.96,30,7.816996
-12.14,30,7.851642
-12.2,30,7.888271
-12.79,30,7.926041
-12.86,30,7.962332
-13.58,30,7.999399
-12.96,30,8.034705
-13.01,30,8.068228
-13.93,30,8.100841
-13.8,30,8.133696
-14.61,30,8.169998
-15.0,30,8.205524
-12.6,30,8.240092
-13.4,30,8.277178
-13.27,30,8.315512
-13.79,30,8.347598
-14.02,30,8.381059
-14.29,30,8.419003
-13.1,30,8.458617
-13.34,30,8.490921
-14.46,30,8.523856
-13.36,30,8.558774
-14.88,30,8.592105
-11.6,30,8.626694
-14.85,30,10.185628
-13.17,30,10.221729
-15.85,30,10.253999
-13.12,30,10.289114
-12.68,30,10.327893
-12.66,30,10.361006
-13.45,30,10.393553
-13.47,30,10.426079
-13.13,30,10.458762
-13.58,30,10.491634
-12.54,30,10.524341
-15.54,30,10.5583
-13.12,30,10.597416
-13.48,30,10.632219
-12.98,30,10.673091
-12.88,30,10.716881
-13.32,30,10.759321
-13.59,30,10.794297
-13.48,30,10.826112
-15.83,30,10.858621
-13.95,30,10.898644
-12.95,30,10.931633
-13.18,30,10.963294
-14.27,30,10.996586
-12.74,30,11.030088
-14.39,30,11.061994
-13.53,30,11.097284
-12.91,30,11.12939
-12.22,30,11.162165
-12.43,30,11.196708
-12.99,30,11.233005
-13.6,30,11.265702
-13.98,30,11.29858
-12.92,30,11.331865
-13.57,30,11.366565
-13.91,30,11.400421
-14.66,30,11.435186
-13.08,30,11.4699
-13.7,30,11.505395
-13.34,30,11.538766
-12.8,30,11.570731
-13.51,30,11.603453
-12.79,30,11.638764
-13.92,30,11.671372
-13.71,30,11.707524
-12.79,30,11.742866
-14.19,30,11.777964
